state,county,latitude,longitude,reachedPatientLimit
OH,FRANKLIN,40.0377864,-83.1184457,Y
KY,DAVIESS,37.7455869,-87.1031545,Y
NM,BERNALILLO,35.1313256,-106.5914467,Y
VA,RICHMOND CITY,37.4979658,-77.4667912,Y
WA,KING,47.6144799,-122.3420506,Y
NC,FRANKLIN,36.1115087,-78.293304,Y
FL,ST LUCIE,27.3754242,-80.3707367,Y
TN,SULLIVAN,36.5930274,-82.2383386,Y
TN,SULLIVAN,36.5930274,-82.2383386,Y
NM,DONA ANA,32.3207648,-106.7703693,Y
OH,FRANKLIN,40.0876483,-83.1441776,Y
UT,DAVIS,40.8849571,-111.8683084,Y
NE,DOUGLAS,41.2615223,-96.0375383,Y
CO,JEFFERSON,39.6930124,-105.3556285,Y
CO,ARAPAHOE,39.6987928,-104.9334323,Y
CO,MESA,39.0804195,-108.5606713,Y
AZ,PIMA,32.2206781,-110.9859637,N
NY,NEW YORK,40.7792731,-73.9778279,Y
TX,DALLAS,32.6450437,-96.8790401,Y
NY,KINGS,40.6649992,-73.9852527,Y
WV,HAMPSHIRE,39.3420337,-78.7566865,Y
IL,CHAMPAIGN,40.117193,-88.2153853,Y
ME,LINCOLN,44.2558403,-69.5468826,Y
FL,MANATEE,27.4555498,-82.5880652,Y
NJ,ATLANTIC,39.389514,-74.5573505,Y
CA,LOS ANGELES,33.8118568,-118.337748,Y
NY,NEW YORK,40.7441473,-73.9912248,Y
CA,LOS ANGELES,34.0392419,-118.5554883,Y
NY,QUEENS,40.683956,-73.847954,Y
NY,NEW YORK,40.7424419,-73.9742637,Y
PA,LANCASTER,40.1733682,-76.377588,Y
NJ,BERGEN,40.938872,-74.1229408,Y
NJ,UNION,40.6357746,-74.2616511,Y
NY,NASSAU,40.6778748,-73.4733095,Y
NJ,ESSEX,40.8205091,-74.2246732,Y
NJ,ESSEX,40.7432716,-74.1921598,Y
NY,BRONX,40.8477916,-73.8398083,Y
CA,ORANGE,33.5733375,-117.7037518,Y
CA,ORANGE,33.761839,-117.9538119,Y
CA,LOS ANGELES,34.0732795,-117.9393166,Y
NJ,MONMOUTH,40.2605113,-74.0120638,Y
MS,LAUDERDALE,32.409625,-88.677699,Y
CA,ORANGE,33.6197449,-117.92355,Y
CA,LOS ANGELES,33.8332542,-118.08145,Y
FL,ORANGE,28.4835405,-81.4620144,Y
TX,LIMESTONE,31.5710578,-96.5258082,Y
NY,NEW YORK,40.7756366,-73.9578983,Y
NY,SUFFOLK,40.6854567,-73.4214552,Y
NY,NEW YORK,40.8025764,-73.950342,Y
NY,KINGS,40.6069361,-74.0034332,Y
FL,OSCEOLA,28.3067229,-81.4370525,Y
NY,NEW YORK,40.782993,-73.958489,Y
NY,BRONX,40.8412158,-73.846407,Y
NY,NEW YORK,40.7633533,-73.9594726,Y
NY,NEW YORK,40.8053,-73.960917,Y
NY,NEW YORK,40.7347832,-73.989535,Y
NY,BRONX,40.8555978,-73.8557587,Y
NY,KINGS,40.652431,-73.957998,Y
FL,SEMINOLE,28.623101,-81.283089,Y
KY,ROCKCASTLE,37.3593501,-84.3556874,Y
NY,SUFFOLK,40.8581592,-73.2151301,Y
NJ,OCEAN,40.0594451,-74.1731044,Y
NY,RICHMOND,40.6081119,-74.0905242,Y
NY,KINGS,40.5775515,-73.9562453,N
NJ,MORRIS,40.8107786,-74.4674458,Y
AZ,MOHAVE,34.4803821,-114.3388668,Y
TX,SMITH,32.3330701,-95.2551766,Y
TX,TARRANT,32.7328519,-97.32961,Y
TX,COLLIN,33.0583389,-96.7738869,Y
NC,NEW HANOVER,34.1941245,-77.929468,Y
PR,CABO ROJO,18.0847792,-67.1453802,Y
IN,FLOYD,38.2967669,-85.8316736,Y
TX,DENTON,33.231,-97.156434,Y
IL,COOK,41.9257854,-87.663115,Y
TX,BOWIE,33.4241158,-94.0469725,Y
TX,KNOX,33.4141205,-99.8119547,Y
TX,DALLAS,32.6939754,-96.8557888,Y
NJ,ATLANTIC,39.3650755,-74.4402524,Y
PA,BUCKS,40.1632485,-74.9433681,Y
NJ,BERGEN,40.8876123,-74.0423595,Y
FL,HIGHLANDS,27.5196778,-81.4838063,Y
NY,NEW YORK,40.747573,-73.977938,Y
